id,ticker_id,date,price,score_total,score_technical,score_fundamental,score_sentiment,score_regime,trend,regime,rsi,ema20,ema50,ema200,macd,macd_signal,atr,volume,volume_ratio,rs_rank,pct_ytd,pct_1y,pct_30d,pct_1d,dist_52w_high,dist_52w_low,rs_vs_spy,pe_ratio,ps_ratio,market_cap,target_price,stop_loss,risk_reward,symbol,name,market,sector
17625,31,2026-03-24,178.26,86.1,93.8,72.0,,100.0,bullish,high_volatility,74.22,168.9418,158.3025,139.1926,6.7335,6.1166,5.2171,176986.0,0.05,94.2,,47.27,15.12,0.85,-0.04,98.99,42.77,16.54,0.54,71.437,,,,PSX,Phillips 66,US,Energy
17621,27,2026-03-24,127.53,85.0,93.8,69.0,,100.0,bullish,high_volatility,77.91,120.0739,111.8602,99.0152,5.0699,4.4978,3.0919,23722.0,0.0,95.7,,29.41,16.06,0.27,0.0,59.57,41.18,20.08,2.58,155.885,,,,COP,ConocoPhillips,US,Energy
17624,30,2026-03-24,239.11,84.6,90.8,72.0,,100.0,bullish,high_volatility,73.05,223.0421,207.2397,184.7221,10.7216,10.0975,7.9938,94873.0,0.03,97.8,,62.87,24.01,2.83,0.0,106.02,49.29,18.07,0.53,70.475,,,,MPC,Marathon Petroleum Corporation,US,Energy
17619,25,2026-03-24,161.83,83.4,90.8,69.0,,100.0,bullish,high_volatility,73.52,154.9966,146.322,125.7294,4.374,3.8568,3.9695,97003.0,0.0,95.0,,44.93,7.34,0.43,0.0,67.51,41.32,24.15,2.08,674.307,,,,XOM,Exxon Mobil Corporation,US,Energy
17622,28,2026-03-24,140.73,81.1,87.8,67.0,,100.0,bullish,high_volatility,79.07,132.501,123.8219,115.8946,5.56,5.1953,3.3972,83360.0,0.01,93.5,,16.6,15.06,0.75,0.0,39.59,40.81,15.43,3.37,76.36,,,,EOG,"EOG Resources, Inc.",US,Energy
17620,26,2026-03-24,206.05,80.3,84.8,69.0,,100.0,neutral,high_volatility,81.21,194.6473,183.3076,162.5651,6.5987,5.8142,3.9562,70176.0,0.0,97.1,,30.7,11.43,0.41,0.0,61.01,42.34,31.08,2.23,411.967,,,,CVX,Chevron Corporation,US,Energy
17623,29,2026-03-24,48.94,78.1,82.8,66.0,,100.0,neutral,high_volatility,58.09,47.878,47.0619,41.2716,-0.2383,-0.4634,1.8754,28222.0,0.0,90.6,,23.04,-4.49,-0.63,-5.61,57.86,31.87,20.83,2.06,73.465,,,,SLB,SLB N.V.,US,Energy
17721,128,2026-03-24,3403.0,75.9,77.8,67.0,,100.0,neutral,high_volatility,69.39,3264.1833,3067.3554,2821.3444,134.6358,132.1252,73.9139,2044959.0,0.12,88.5,,23.12,14.77,1.45,-2.04,48.56,29.4,15.12,0.72,191.23,,,,SHEL.L,Shell plc,EU,Energy
19059,5723,2026-03-24,389.4200134277344,73.8,80.0,75.0,50.0,,bullish,,47.430853630029,,,,,,26.692145211356028,,,,,,4.332220610243631,-3.6923438729858926,,,,,,,469.5,349.38,2.0,MU,"Micron Technology, Inc.",CUSTOM,Technology
17704,111,2026-03-24,27.3,72.4,82.0,52.0,,100.0,bullish,high_volatility,58.93,24.1543,21.4898,18.8438,1.7171,1.6844,4.2406,0.0,,99.3,,41.6,29.94,4.4,-47.83,102.67,97.33,,,,,,,^VIX,CBOE Volatility Index,US,ETF
17651,57,2026-03-24,360.095,69.1,75.0,53.0,,100.0,bullish,high_volatility,57.16,352.3273,335.5378,262.1413,4.328,4.191,14.8866,119927.0,0.02,96.4,,138.84,-3.6,-0.47,-8.83,186.19,42.64,37.01,10.13,285.775,,,,AMAT,"Applied Materials, Inc.",US,
17652,58,2026-03-24,230.84,65.8,68.6,53.0,,100.0,neutral,high_volatility,54.86,225.3305,218.3825,167.0089,1.2677,-0.2984,11.3212,165849.0,0.01,92.1,,206.61,-4.6,-1.06,-7.36,293.52,35.31,47.3,14.1,289.942,,,,LRCX,Lam Research Corporation,US,
17692,99,2026-03-24,60.13,64.2,61.8,58.0,,100.0,neutral,high_volatility,80.73,57.1465,53.908,47.548,1.7566,1.6018,1.1786,2164158.0,0.03,92.8,,35.2,9.74,0.84,0.0,62.38,40.34,23.11,,11.21,,,,XLE,State Street Energy Select Sector SPDR ETF,US,ETF
17730,138,2026-03-24,,62.5,52.8,66.0,,100.0,neutral,high_volatility,68.76,21.2446,19.3488,16.2798,1.3239,1.215,0.573,5516573.0,0.33,,,,,,-4.86,113.7,48.27,29.15,0.8,66.882,,,,ENI.MI,Eni S.p.A.,EU,Energy
17765,173,2026-03-24,5.835,62.2,61.0,54.0,,100.0,neutral,high_volatility,58.91,5.4728,5.2555,5.2315,0.2385,0.2077,0.2877,2432787.0,0.05,82.0,,29.67,10.3,0.26,-26.05,85.83,20.14,-129.27,0.17,14.755,,,,NIO,NIO Inc.,US,
17648,54,2026-03-24,136.3454,61.4,74.0,34.0,,100.0,bullish,high_volatility,66.68,125.9602,123.6827,132.6524,3.3139,1.6619,5.9352,211631.0,0.05,84.9,,14.51,10.15,-0.4,-23.67,58.87,23.79,181.79,31.0,144.799,,,,ARM,Arm Holdings plc,US,Technology
17674,81,2026-03-24,50.8801,60.4,59.0,52.0,,100.0,neutral,high_volatility,52.83,51.79,47.2334,36.4621,1.4103,2.1608,3.3092,136885.0,0.01,98.6,,55.79,1.17,-0.78,-11.97,127.55,49.23,-11.18,10.38,20.178,,,,MRNA,"Moderna, Inc.",US,Healthcare
